Origin,"Albany, NY, USA","Atlanta, GA, USA","Austin, TX, USA","Baltimore, MD, USA","Baton Rouge, LA, USA","Beaumont, TX, USA","Birmingham, AL, USA","Boston, MA, USA","Buffalo, NY, USA","Charleston, SC, USA","Charlotte, NC, USA","Chicago, IL, USA","Cincinnati, OH, USA","Cleveland, OH, USA","Columbus, OH, USA","Corpus Christi, TX, USA","Dallas, TX, USA","Dayton, OH, USA","Denver, CO, USA","Detroit, MI, USA","El Paso, TX, USA","Fort Wayne, IN, USA","Fresno, CA, USA","Grand Rapids, MI, USA","Greensboro, NC, USA","Greenville, SC, USA","Hartford, CT, USA","Houston, TX, USA","Indianapolis, IN, USA","Jacksonville, FL, USA","Kansas City, MO, USA","Knoxville, TN, USA","Las Vegas, NV, USA","Los Angeles, CA, USA","Louisville, KY, USA","Memphis, TN, USA","Miami, FL, USA","Milwaukee, WI, USA","Minneapolis, MN, USA","Nashville, TN, USA","New Orleans, LA, USA","New York, NY, USA","Oklahoma City, OK, USA","Omaha, NE, USA","Orlando, FL, USA","Philadelphia, PA, USA","Phoenix, AZ, USA","Pittsburgh, PA, USA","Portland, OR, USA","Raleigh, NC, USA","Richmond, VA, USA","Rochester, NY, USA","Sacramento, CA, USA","Salt Lake City, UT, USA","San Antonio, TX, USA","San Diego, CA, USA","San Francisco, CA, USA","Seattle, WA, USA","St. Louis, MO, USA","Tampa, FL, USA","Tucson, AZ, USA","Tulsa, OK, USA","Washington, USA","Wichita, KS, USA"
"Charlotte, NC, USA",1234821,932952,1891925,679063,763528,1534846,630850,1319904,1054747,336191,0,394810,743704,829114,684987,2002913,1651746,734701,4108975,995084,2673414,921396,4388575,1188583,148413,164873,2516169,1670053,1211662,4386277,1545894,371902,3567866,3187546,1747200,1023928,616766,1367533,1875910,658822,1240813,985081,1773025,1842278,1182967,838108,0,720226,4433570,267005,468331,1165942,3908538,3271032,1984735,4307146,3837872,4500056,1150017,844630,3364491,1669130,1160889,929439
"Chicago, IL, USA",1317565,1844156,1803150,1489439,483121,1680279,1017841,1583273,858555,1470748,1217435,0,476905,555696,524259,2059192,1490175,480227,3443250,454793,2392958,294806,3423607,291043,1183043,1141539,1612240,1726218,1111310,3206877,820938,874921,2811807,2814817,1138310,856895,1666697,148332,657897,710945,1470473,1271520,1278009,750868,2176809,1221775,0,742273,3410380,1302408,1239312,969750,3242813,2247842,1929734,3283955,3341732,3320656,477493,1816557,2821540,1109849,1435863,261304
"Cincinnati, OH, USA",1154734,1474418,1822702,824313,163514,1686143,752694,1420442,695724,999751,753704,741572,0,401108,172524,2027552,1509713,87651,3701063,422868,2478620,180244,3831352,572350,719312,670542,1918962,1694579,474955,3627554,948688,403924,3121672,2900479,1260162,782297,1296959,630827,1139204,445799,1392111,1028736,1363671,1158613,1807071,920610,0,464071,3818125,838677,835475,806919,3500625,2655587,1949286,3691700,3474931,3741333,563155,1446818,2907202,1195511,1237294,288527
"Cleveland, OH, USA",764208,1758128,2222420,604928,563233,2085862,1152413,1029915,305197,1161368,830729,1141291,399809,0,227827,2427271,1909431,341427,3972289,271444,2816306,507102,3952646,482678,796337,978630,2141278,2094298,554106,3758323,1286373,803642,3340845,3238164,1597847,1182016,1441943,699778,1209343,845518,1791830,744639,1701356,1279907,2008144,694893,0,215391,3939419,915702,712430,416392,3771851,2776881,2349005,3812994,3812616,3872102,900840,1669807,3244887,1533196,908981,327875
"Columbus, OH, USA",983630,1645940,1994224,650039,335036,1857665,924216,1249337,524619,1017221,686581,913094,171612,230003,0,2199074,1681235,116879,3814199,326117,2591757,282554,3930378,519617,652189,733170,2032099,1866101,520655,3724872,1061825,575446,3234809,3013615,1373299,953819,1297795,666328,1175893,617321,1563633,862262,1476808,1257639,1863996,754136,0,297596,3917150,771555,768352,635815,3613762,2754612,2120808,3790726,3588068,3838651,676292,1525660,3020339,1308648,1066190,253280
"Corpus Christi, TX, USA",3161170,1920235,348979,2669489,1872598,478955,1415072,3318029,2723728,2088749,2014589,1618511,2028514,2429112,2200528,0,661229,2114238,2758922,2426160,1119464,1962520,3021542,2306537,2151492,1851817,1715141,343542,2073761,3621218,1534048,1827273,2293582,1633596,1224705,1255209,1742678,2196757,2234806,1595720,774909,2963120,971317,1699213,2252888,2828534,0,2492075,3573065,2270083,2471410,2834923,2408599,2344195,230647,3025373,2283922,3675069,1598159,1892636,1810540,1075074,3167269,2165992
"Dallas, TX, USA",2655110,1780774,313832,2198085,1344969,460285,1025074,2846625,2196099,1736859,1654204,1257668,1500885,1901483,1672899,627232,0,1586609,2507766,1898531,1021315,1434892,2787365,1734235,1791107,1491432,1278753,385022,1491136,3367096,894330,1355869,1966656,1535447,584986,727581,1603217,1614132,1515901,1068091,665501,2491716,331599,1059495,2113427,2357130,0,1964446,3271490,1909699,2054347,2307295,2310450,1999414,440416,2777848,2185773,3373495,1015383,1753175,1712392,415454,2695865,1638363
"Dayton, OH, USA",1095243,1559505,1936797,763137,248601,1771231,837782,1360950,636232,1067858,737219,826659,87266,341616,114573,2141648,1623808,0,3719680,336776,2497238,188035,3835859,486259,702827,755630,1937580,1808674,478300,3691528,967306,489011,3140290,2919097,1278780,867385,1348433,634172,1142549,530887,1477199,975359,1382289,1163120,1892158,867233,0,410693,3822632,822192,818989,747427,3519243,2660094,2063382,3696207,3493549,3805308,581773,1531906,2925820,1214129,1177803,202436
"Denver, CO, USA",2907885,2997694,1479651,2071304,1795810,1731678,2152303,3173592,2448875,2743760,2517933,2264849,1917324,2146016,2030573,1730916,1280474,1937118,0,2043129,1025654,1745390,2009402,1879379,2604306,2414551,1836868,1656415,1615702,2091781,972318,2146289,1205425,1446616,836134,1761631,2820236,1682028,1471793,1861715,1944344,2861840,1091727,870224,3330348,2783233,0,2332593,1996175,2723671,2696853,2560070,1636431,833637,1498396,1869750,1735350,2098179,1368268,2970095,1322645,1115721,3026183,1848268
"Detroit, MI, USA",872040,1895776,2211277,849166,584873,2037215,1174053,1137747,411183,1326951,996312,1162931,423538,273052,325647,2416128,1898288,339143,3871785,0,2801365,455171,3852142,254291,961920,1091901,2040774,2083154,455076,3659293,1229344,825282,3240341,3223223,1546716,1213593,1607526,456359,1110313,867158,1827171,988877,1686415,1179403,2173727,939131,0,459629,3838915,1081285,956669,524224,3671347,2676377,2337862,3712490,3770267,3773072,885900,1868177,3229947,1518256,1045991,261522
